,Comment
0,And yes the sensor dust is killing me too
1,Can you make a video about the PWM issue that is going on with the current display? Like the iPhone 13 and the 14/16in MacBook Pro
2,And I was smudging my phone display -
3,I want everything Mac  I have since the late 80s.  Luckily I have the right change to get what I want. I rest my case right here. And I make great strawberry
4,I want everything Mac ok? I rest my case.
5,I thought my pixel display broke . Thanks to your sensor dust xD
6,I was gonna comment about that ??
7,CANCELLED! Lol
8,and if you put thermo pad in macbook air- perfomance will be almost the same whitout coolers
9,maybe come prepared?
10,@Shane Seyhan Rohde SSR It does not
11,You should have
12,we all been there
13,no big deal
14,I have a question does the M2 MacBook Air have air cooling fan!?? God bless you!
15,No problem the video is still clear and we can't even see the dust lol
16,Hi Marques. I think in the interest of viewers your should get the new matt black (midnight) one to really test and show the fingerprint issue.
17,Didn't even notice until you pointed it out ??
18,Ok so Marques
19,I cringed for you hahaha. But then I thought
20,ok
21,Damn
22,Wow
23,But the mac book looks beautiful
24,I actually cleaned my laptop screen.. I thought I got screen burn-in or something. You gave me a good scare with your video.
25,?
26,I thought my phone has a screen problem whicj scares me off
27,Ok
28,I was scared that my iPhone has a dead pixel. I literally go to dead pixel text and confirmed twice and relived that it�s not me
29,I was surprised that the cameraman didn't notice it while filming. Should have switched it to iPhone on the spot
30,Starlight coz we know ur a fan of the Boys
31,Thinner is easy to be broken.
32,Testing my sanity...
33,Is that the dot you are referring to. Thought my screen was dirty at first. Lol
34,????? I genuinely thought my screen was damaged
35,Hahahahha
36,I personally feel starlight is the best color. What say? Classy look
37,dumb me thought that was on my display and tried to clean it ??????
38,Still an epic video and first impressions review nonetheless!
39,I wish I could buy it. i really like macbookpro
40,Lol
41,Where did you change the lens?! Tatooine? ??
42,LOL I was trying to rub it off my computer screen
43,Why not the silver color option?
44,@Joe B perfect don�t change my Mac ??
45,Sitting here cleaning my screen like �my display is f�d�. ??
46,Please explain the new Mac OS Ventura
47,Great video
48,**some kinda of ai remove software be like am i a joke to you**
49,It is kinda crazy that they didn't lower the M1 Air price. It has been 18 months
50,Actually tried to wipe it off my screen ??
51,Please test Midnight in depth. Looks very cool
52,I was trying to clean my screen HAHAHAH
53,@Anas Khan The WEDGE shape is what really differentiated the Air from Pro
54,Its annoying.........
55,No mention about 7MM DIFFERENCE in leading edge WEDGE HEIGHT? Typing wrist comfort benefit now gone FOREVER.
56,didn't even notice it till i read this comment. thought it was gunk on my phone.
57,Never seen sensor dust look like this!! I guess that�s a problem exclusively for red cameras?
58,How do we fix it on the post?
59,I was extremely paranoic my screen had dead pixels
60,I love that you tried to hide it in darker areas like the black bezels and such. hahaha
61,Getting used to notch
62,this is too real lol
63,@VINAY MAKIN ok
64,All good. Happened to me once
65,I like the midnight color but those fingerprints would drive me crazy too. I vote for space grey.
66,I was scared AF. I thought there is dead pixel on my TV
67,@jaysheel vijay ok
68,It�s a pain but your videos are worth watching ??
69,@Chase Guap ok
70,Here I was swiping at my phone ?? we outside and shit happens
71,@Mark C the severity isn�t the worst I�ve seen. But you do have a point with the variable aperture!
72,@Cody Jay ok
73,Davinci resolve bro! Fixed in 30 sec�.
